concurrency,problem,dataset,searcher,cv,seed,time_budget_s,best_result,best_result_normalized,worst_result,worst_result_normalized,num_trials,avg_time_per_iter,best_result_normalized_1m,best_result_normalized_5m,best_result_normalized_10m,best_result_normalized_30m
8.0,XGBoostProblem,mfeat-factors,ASHAOptunaTPESearcher,5.0,1000.5,3600.0,0.911433161560246,0.8232657597190175,0.6310974297750699,0.26385854475659354,618.0,5.692772371712185,0.2705746522438558,0.8084199625316666,0.8160546264619811,0.8220679486058718
8.0,XGBoostProblem,mfeat-factors,ASHARandomSearch,5.0,2000.3333333333333,3600.0,0.9735994566908134,0.9473179945235773,0.5655527634880627,0.13306480330320739,470.3333333333333,3.060501766401947,0.8514337430147966,0.942117516495271,0.9427753170339427,0.9465111268597477
8.0,XGBoostProblem,mfeat-factors,ASHASkOptSearcher,5.0,2000.3333333333333,3600.0,0.9993101333333335,0.9986233986681095,0.5,0.0022549039641935886,611.3333333333334,3.6291724543870867,0.6252627858456624,0.997872296144107,0.9985305418558966,0.9985720480527597
8.0,XGBoostProblem,mfeat-factors,AxSearcher,5.0,2000.3333333333333,3600.0,0.9989921333333335,0.997988832773761,0.5,0.0022549039641935886,143.33333333333334,5.789931517767092,0.9797971456063489,0.9968479444907565,0.9974686749861505,0.997847552065208
8.0,XGBoostProblem,mfeat-factors,BOHBSearcher,5.0,2000.3333333333333,3600.0,0.9995552,0.9991124268080723,0.5,0.0022549039641935886,261.3333333333333,4.152776096238831,0.6233743869210767,0.9984250469388695,0.9988355857963033,0.9990210333553645
8.0,XGBoostProblem,mfeat-factors,BlendSearchSearcher,5.0,2000.3333333333333,3600.0,0.9975374491839636,0.9950860247604304,0.6362256,0.2740917583577042,1208.0,43.22154643712147,0.9481884112257947,0.9909488953299647,0.9923186870973528,0.9932990884217747
8.0,XGBoostProblem,mfeat-factors,CFOSearcher,5.0,2000.3333333333333,3600.0,0.9876983267126588,0.975452151959782,0.5,0.0022549039641935886,352.6666666666667,4.4907829217138024,0.5479666714906721,0.9741514995147504,0.9743833754799182,0.9752123863454307
8.0,XGBoostProblem,mfeat-factors,HEBOSearcher,5.0,2000.3333333333333,3600.0,0.9951935579242126,0.9904088126425087,0.6305428666666667,0.2627519194897493,245.0,6.832062051589425,0.8542932929903441,0.9855466318168097,0.9893873517334906,0.9903493089989582
8.0,XGBoostProblem,mfeat-factors,HyperOptSearcher,5.0,2000.3333333333333,3600.0,0.9987070000000001,0.9974198519917638,0.5,0.0022549039641935886,290.3333333333333,6.431180706117455,0.663113244600376,0.9967252883577191,0.9970944540509717,0.9972272206678606
8.0,XGBoostProblem,mfeat-factors,OptunaTPESearcher,5.0,2000.3333333333333,3600.0,0.916015738595187,0.8324102474378775,0.5,0.0022549039641935886,267.3333333333333,5.722670522529799,0.43591893519203184,0.8315544719502322,0.8315544719502322,0.8317551640459836
